x,y
1.946220793672257230e+02,1.015364250959730725e+03
1.998863737308765565e+02,1.034658996484169165e+03
2.004533672267659767e+02,1.054650957828059745e+03
2.075279066240543102e+02,1.073357932257833681e+03
2.061919759862533681e+02,1.093313264611141676e+03
1.984027705296667534e+02,1.111734129909902322e+03
1.880712854876742881e+02,1.128858977845784466e+03
1.876863809504309017e+02,1.148855273715200155e+03
1.882533744463203220e+02,1.168847235059090735e+03
1.878684699090769357e+02,1.188843530928506425e+03
1.884354634049663559e+02,1.208835492272397005e+03
1.955100028022546894e+02,1.227542466702170941e+03
2.109902208552672107e+02,1.240205912087656998e+03
2.214772322984333357e+02,1.257235961734998000e+03
2.327626879034443732e+02,1.273747730016660853e+03
2.507920632914967882e+02,1.282404613007477337e+03
2.707883591609124210e+02,1.282789517544720638e+03
2.898107650718387731e+02,1.276613104883640290e+03
3.057668475219194306e+02,1.264554770303515625e+03
3.211310984816502128e+02,1.251750872754471629e+03
3.370871809317308703e+02,1.239692538174346964e+03
3.511647735336251799e+02,1.225486152760207005e+03
3.681948231809662957e+02,1.214999141317040994e+03
3.881867845248569893e+02,1.214432147821151602e+03
4.072646497704604371e+02,1.220435068582797157e+03
4.233298849794165335e+02,1.232347592147555133e+03
4.428919780699181956e+02,1.236509864834266864e+03
4.622338650354633387e+02,1.241598224944565118e+03
4.822301609048789715e+02,1.241983129481808419e+03
5.012525668158053236e+02,1.235806716820728070e+03
5.182826164631463826e+02,1.225319705377562059e+03
5.347943847448091219e+02,1.214034249772550993e+03
5.540891302692474483e+02,1.208769955408900159e+03
5.715988827423728935e+02,1.199105144581476907e+03
5.915412213382005575e+02,1.197587537475087174e+03
6.103118473629912160e+02,1.204491420341811590e+03
6.245182327771312885e+02,1.218569012943705957e+03
6.405834679860873848e+02,1.230481536508463932e+03
6.547898534002274573e+02,1.244559129110358299e+03
6.735604794250181158e+02,1.251463011977082715e+03
6.931225725155197779e+02,1.255625284663794446e+03
7.121449784264461869e+02,1.249448872002714097e+03
7.320141420175534677e+02,1.251732802428497280e+03
7.491389899534356118e+02,1.262064287470489717e+03
7.588038007808587508e+02,1.279574039943615162e+03
7.603214078872483697e+02,1.299516378539442712e+03
7.589854772494473991e+02,1.319471710892750707e+03
7.642497716130982326e+02,1.338766456417189147e+03
7.704261842741785813e+02,1.357788862328115556e+03
7.824845188543031327e+02,1.373744944778196214e+03
3.646976604391491605e+02,1.019971821376539424e+03
3.756026811195863502e+02,1.036737277647074961e+03
3.934294341929073653e+02,1.045804078343177252e+03
4.128912583357971471e+02,1.050412483819177851e+03
4.321117620716123611e+02,1.055941700413010267e+03
4.515735862145021429e+02,1.060550105889010865e+03
4.673622833221070323e+02,1.072826792886906787e+03
4.871740396088987382e+02,1.075564367147592520e+03
5.070936149236617894e+02,1.077356159345220931e+03
5.269053712104534952e+02,1.080093733605906664e+03
5.465228699595197668e+02,1.076200952745084578e+03
5.663346262463114726e+02,1.078938527005770311e+03
5.859936835050082209e+02,1.082615681843315770e+03
6.049293262108201361e+02,1.089053184101011311e+03
6.218135041663555285e+02,1.099773470233657690e+03
6.327185248467927750e+02,1.116538926504193114e+03
6.505452779201137901e+02,1.125605727200295405e+03
6.700071020630035719e+02,1.130214132676296003e+03
6.896661593217003201e+02,1.133891287513841462e+03
7.060211214780683804e+02,1.145402812732671919e+03
7.144291715740010886e+02,1.163549567086668276e+03
7.219642408628967587e+02,1.182075838454958784e+03
7.336546423827120407e+02,1.198303423374024987e+03
7.500096045390801009e+02,1.209814948592855444e+03
7.617000060588953829e+02,1.226042533511921647e+03
7.637103982959625910e+02,1.245941235053809805e+03
7.754007998157778729e+02,1.262168819972876008e+03
7.927759454768859086e+02,1.272073582123239703e+03
8.085646425844907981e+02,1.284350269121135625e+03
8.237513081662021932e+02,1.297364307253447350e+03
8.369313046575730368e+02,1.312407169098437180e+03
8.426712205158621600e+02,1.331565805948165234e+03
8.527661569776548731e+02,1.348831154419376844e+03
8.701413026387630225e+02,1.358735916569740539e+03
8.879680557120840376e+02,1.367802717265842830e+03
9.074298798549738194e+02,1.372411122741843428e+03
9.243140578105092118e+02,1.383131408874489807e+03
9.432497005163211270e+02,1.389568911132185349e+03
9.632493991284775348e+02,1.389459113942288923e+03
9.830611554152692406e+02,1.392196688202974428e+03
1.000887908488590256e+03,1.401263488899076719e+03
1.020859729865129680e+03,1.400202192096291128e+03
1.040779305179892845e+03,1.401993984293919539e+03
1.058154450841000880e+03,1.411898746444283233e+03
1.073943147948605656e+03,1.424175433442179155e+03
