x,y
1.094116916962935420e+03,4.435408716214791411e+02
1.098350872719437575e+03,4.462004991615648919e+02
1.102584828475939730e+03,4.488601267016506426e+02
1.106818784232441885e+03,4.515197542417363934e+02
1.111052739988944040e+03,4.541793817818221441e+02
1.115286695745446195e+03,4.568390093219078949e+02
1.119520651501948350e+03,4.594986368619936457e+02
1.123754607258450505e+03,4.621582644020793964e+02
1.127988563014952661e+03,4.648178919421651472e+02
1.132222518771454816e+03,4.674775194822508979e+02
1.136456474527956971e+03,4.701371470223366487e+02
1.140690430284459126e+03,4.727967745624223994e+02
1.144924386040961281e+03,4.754564021025081502e+02
1.149158341797463436e+03,4.781160296425939009e+02
1.153392297553965591e+03,4.807756571826796517e+02
1.157626253310467746e+03,4.834352847227654024e+02
1.161860209066969901e+03,4.860949122628511532e+02
1.166094164823472056e+03,4.887545398029369039e+02
1.170328120579974211e+03,4.914141673430226547e+02
1.174562076336476366e+03,4.940737948831084054e+02
1.178796032092978521e+03,4.967334224231941562e+02
1.183029987849480676e+03,4.993930499632799069e+02
1.187263943605982831e+03,5.020526775033656577e+02
1.191497899362484986e+03,5.047123050434514084e+02
1.195731855118987141e+03,5.073719325835371592e+02
1.199965810875489296e+03,5.100315601236229099e+02
1.204199766631991452e+03,5.126911876637086607e+02
1.208433722388493607e+03,5.153508152037944683e+02
1.212667678144995762e+03,5.180104427438802759e+02
1.216901633901497917e+03,5.206700702839660835e+02
1.221135589658000072e+03,5.233296978240518911e+02
1.225369545414502227e+03,5.259893253641376987e+02
1.229603501171004382e+03,5.286489529042235063e+02
1.233837456927506537e+03,5.313085804443093139e+02
1.238071412684008692e+03,5.339682079843951215e+02
1.242305368440510847e+03,5.366278355244809291e+02
1.246539324197013002e+03,5.392874630645667366e+02
1.250773279953515157e+03,5.419470906046525442e+02
1.255007235710017312e+03,5.446067181447383518e+02
1.259241191466519467e+03,5.472663456848241594e+02
1.263475147223021622e+03,5.499259732249099670e+02
1.267709102979523777e+03,5.525856007649957746e+02
1.271943058736025932e+03,5.552452283050815822e+02
1.276177014492528087e+03,5.579048558451673898e+02
1.280410970249030242e+03,5.605644833852531974e+02
1.284644926005532398e+03,5.632241109253390050e+02
1.288878881762034553e+03,5.658837384654248126e+02
1.293112837518536708e+03,5.685433660055106202e+02
1.297346793275038863e+03,5.712029935455964278e+02
1.301580749031541018e+03,5.738626210856822354e+02
1.459808923579037909e+01,1.616375398857648179e+03
1.619865911545872450e+01,1.621112294049680486e+03
1.779922899512706991e+01,1.625849189241712793e+03
1.939979887479541532e+01,1.630586084433745100e+03
2.100036875446376072e+01,1.635322979625777407e+03
2.260093863413210613e+01,1.640059874817809714e+03
2.420150851380045154e+01,1.644796770009842021e+03
2.580207839346879695e+01,1.649533665201874328e+03
2.740264827313714235e+01,1.654270560393906635e+03
2.900321815280548776e+01,1.659007455585938942e+03
3.060378803247383317e+01,1.663744350777971249e+03
3.220435791214217858e+01,1.668481245970003556e+03
3.380492779181052754e+01,1.673218141162035863e+03
3.540549767147887650e+01,1.677955036354068170e+03
3.700606755114722546e+01,1.682691931546100477e+03
3.860663743081557442e+01,1.687428826738132784e+03
4.020720731048392338e+01,1.692165721930165091e+03
4.180777719015227234e+01,1.696902617122197398e+03
4.340834706982062130e+01,1.701639512314229705e+03
4.500891694948897026e+01,1.706376407506262012e+03
4.660948682915731922e+01,1.711113302698294319e+03
4.821005670882566818e+01,1.715850197890326626e+03
4.981062658849401714e+01,1.720587093082358933e+03
5.141119646816236610e+01,1.725323988274391240e+03
5.301176634783071506e+01,1.730060883466423547e+03
5.461233622749906402e+01,1.734797778658455854e+03
5.621290610716741298e+01,1.739534673850488161e+03
5.781347598683576194e+01,1.744271569042520468e+03
5.941404586650411090e+01,1.749008464234552775e+03
6.101461574617245986e+01,1.753745359426585082e+03
6.261518562584080883e+01,1.758482254618617389e+03
6.421575550550915068e+01,1.763219149810649697e+03
6.581632538517749254e+01,1.767956045002682004e+03
6.741689526484583439e+01,1.772692940194714311e+03
6.901746514451417625e+01,1.777429835386746618e+03
7.061803502418251810e+01,1.782166730578778925e+03
7.221860490385085996e+01,1.786903625770811232e+03
7.381917478351920181e+01,1.791640520962843539e+03
7.541974466318754367e+01,1.796377416154875846e+03
7.702031454285588552e+01,1.801114311346908153e+03
7.862088442252422738e+01,1.805851206538940460e+03
8.022145430219256923e+01,1.810588101730972767e+03
8.182202418186091109e+01,1.815324996923005074e+03
8.342259406152925294e+01,1.820061892115037381e+03
8.502316394119759480e+01,1.824798787307069688e+03
8.662373382086593665e+01,1.829535682499101995e+03
8.822430370053427851e+01,1.834272577691134302e+03
8.982487358020262036e+01,1.839009472883166609e+03
9.142544345987096222e+01,1.843746368075198916e+03
9.302601333953930407e+01,1.848483263267231223e+03
3.135471963497737420e+02,1.910148149824221264e+03
3.161353930759843820e+02,1.905870155234880031e+03
3.187235898021950220e+02,1.901592160645538797e+03
3.213117865284056620e+02,1.897314166056197564e+03
3.238999832546163020e+02,1.893036171466856331e+03
3.264881799808269420e+02,1.888758176877515098e+03
3.290763767070375820e+02,1.884480182288173864e+03
3.316645734332482220e+02,1.880202187698832631e+03
3.342527701594588621e+02,1.875924193109491398e+03
3.368409668856695021e+02,1.871646198520150165e+03
3.394291636118801421e+02,1.867368203930808932e+03
3.420173603380907821e+02,1.863090209341467698e+03
3.446055570643014221e+02,1.858812214752126465e+03
3.471937537905120621e+02,1.854534220162785232e+03
3.497819505167227021e+02,1.850256225573443999e+03
3.523701472429333421e+02,1.845978230984102765e+03
3.549583439691439821e+02,1.841700236394761532e+03
3.575465406953546221e+02,1.837422241805420299e+03
3.601347374215652621e+02,1.833144247216079066e+03
3.627229341477759021e+02,1.828866252626737833e+03
3.653111308739865422e+02,1.824588258037396599e+03
3.678993276001971822e+02,1.820310263448055366e+03
3.704875243264078222e+02,1.816032268858714133e+03
3.730757210526184622e+02,1.811754274269372900e+03
3.756639177788291022e+02,1.807476279680031666e+03
3.782521145050397422e+02,1.803198285090690433e+03
3.808403112312503822e+02,1.798920290501349200e+03
3.834285079574610222e+02,1.794642295912007967e+03
3.860167046836716622e+02,1.790364301322666734e+03
3.886049014098823022e+02,1.786086306733325500e+03
3.911930981360929422e+02,1.781808312143984267e+03
